"","lfdn","condition","Zeitpunkt","trust","intention_"
"1",9,"3",1,6.25,2
"2",9,"3",2,6,2
"3",12,"1",1,7,1
"4",12,"1",2,7,1
"5",13,"2",1,7,7
"6",13,"2",2,7,7
"7",14,"3",1,7,3
"8",14,"3",2,7,3
"9",15,"2",1,5.5,4
"10",15,"2",2,5,5
"11",16,"1",1,7,7
"12",16,"1",2,7,5
"13",17,"1",1,5.75,3
"14",17,"1",2,5.75,3
"15",18,"2",1,5.5,5
"16",18,"2",2,5,5
"17",19,"3",1,5.25,3
"18",19,"3",2,4.75,4
"19",21,"2",1,4.5,6
"20",21,"2",2,4.25,5
"21",22,"1",1,6.75,3
"22",22,"1",2,6.75,4
"23",24,"1",1,4.75,5
"24",24,"1",2,4.5,5
"25",26,"2",1,5.5,6
"26",26,"2",2,6.5,5
"27",27,"2",1,4.5,3
"28",27,"2",2,4.75,3
"29",30,"3",1,3.5,5
"30",30,"3",2,4.75,5
"31",31,"2",1,6,5
"32",31,"2",2,5.75,5
"33",32,"3",1,3.25,1
"34",32,"3",2,2.5,1
"35",33,"1",1,4.25,1
"36",33,"1",2,4.25,1
"37",35,"1",1,3.75,1
"38",35,"1",2,4,1
"39",38,"2",1,5.75,5
"40",38,"2",2,6,6
"41",41,"3",1,7,7
"42",41,"3",2,7,7
"43",42,"1",1,5,3
"44",42,"1",2,5,3
"45",43,"2",1,5.25,2
"46",43,"2",2,5,2
"47",45,"3",1,5,3
"48",45,"3",2,5,4
"49",46,"1",1,4.75,1
"50",46,"1",2,4.75,1
"51",48,"3",1,5.5,4
"52",48,"3",2,5.75,4
"53",50,"1",1,7,7
"54",50,"1",2,7,7
"55",51,"3",1,6.5,6
"56",51,"3",2,6.5,7
"57",54,"1",1,5,7
"58",54,"1",2,5,7
"59",55,"2",1,5,6
"60",55,"2",2,6,7
"61",59,"2",1,6.25,7
"62",59,"2",2,5.5,5
"63",60,"2",1,3,1
"64",60,"2",2,6.25,2
"65",61,"2",1,5.25,6
"66",61,"2",2,5.25,5
"67",62,"1",1,5.75,7
"68",62,"1",2,6,7
"69",64,"1",1,5.75,3
"70",64,"1",2,6,3
"71",65,"3",1,1.5,2
"72",65,"3",2,1.75,1
"73",74,"3",1,5,2
"74",74,"3",2,5,2
"75",75,"3",1,6,6
"76",75,"3",2,6,6
"77",78,"1",1,5.25,3
"78",78,"1",2,5.5,3
"79",86,"1",1,5.75,4
"80",86,"1",2,5.75,4
"81",88,"3",1,4,1
"82",88,"3",2,4.25,1
"83",90,"1",1,6.75,7
"84",90,"1",2,7,7
"85",101,"1",1,6.5,6
"86",101,"1",2,6.5,7
"87",104,"3",1,3.25,2
"88",104,"3",2,3,2
"89",105,"2",1,3.5,2
"90",105,"2",2,4.75,2
"91",111,"3",1,6.5,6
"92",111,"3",2,5.5,6
"93",112,"2",1,5.5,2
"94",112,"2",2,5,3
"95",113,"1",1,4.5,1
"96",113,"1",2,4.5,1
"97",115,"3",1,2.5,1
"98",115,"3",2,5.75,3
"99",117,"3",1,5.5,4
"100",117,"3",2,5.5,4
"101",120,"3",1,6.5,7
"102",120,"3",2,6.5,7
"103",122,"2",1,4.5,4
"104",122,"2",2,5.25,6
"105",123,"1",1,6.25,1
"106",123,"1",2,6,1
"107",124,"3",1,5.5,1
"108",124,"3",2,5.5,1
"109",125,"2",1,4,1
"110",125,"2",2,4.25,1
"111",126,"3",1,6.75,3
"112",126,"3",2,7,5
"113",127,"2",1,7,7
"114",127,"2",2,7,7
"115",128,"1",1,4,2
"116",128,"1",2,4,2
"117",130,"1",1,4,1
"118",130,"1",2,5,2
"119",133,"2",1,7,7
"120",133,"2",2,7,7
"121",134,"3",1,5.5,4
"122",134,"3",2,5.5,3
"123",135,"1",1,6,5
"124",135,"1",2,6,6
"125",137,"3",1,6.5,7
"126",137,"3",2,6.25,7
"127",138,"1",1,6,5
"128",138,"1",2,5.75,5
"129",141,"3",1,6.5,5
"130",141,"3",2,6.75,7
"131",146,"1",1,6,6
"132",146,"1",2,6,6
"133",148,"1",1,6.5,7
"134",148,"1",2,6.5,7
"135",149,"3",1,6,7
"136",149,"3",2,6,7
"137",152,"2",1,3,2
"138",152,"2",2,2.5,2
"139",154,"3",1,6,5
"140",154,"3",2,6,6
"141",155,"1",1,3.75,3
"142",155,"1",2,4,3
"143",158,"2",1,4,5
"144",158,"2",2,3.25,5
"145",160,"3",1,4,2
"146",160,"3",2,4.25,2
"147",161,"2",1,7,5
"148",161,"2",2,7,5
"149",163,"1",1,2.5,7
"150",163,"1",2,2,6
"151",164,"3",1,4.75,3
"152",164,"3",2,4.5,3
"153",165,"1",1,3,2
"154",165,"1",2,2,2
"155",166,"2",1,6.25,6
"156",166,"2",2,6,6
"157",169,"3",1,5.5,3
"158",169,"3",2,5.5,2
"159",170,"2",1,4.25,7
"160",170,"2",2,4.75,6
"161",174,"2",1,5.25,3
"162",174,"2",2,4,2
"163",175,"3",1,5.75,5
"164",175,"3",2,5.75,6
"165",177,"3",1,5.75,4
"166",177,"3",2,5.5,5
"167",181,"1",1,5.25,4
"168",181,"1",2,5,6
"169",182,"1",1,6.5,5
"170",182,"1",2,6.5,5
"171",183,"2",1,5.25,6
"172",183,"2",2,5.75,6
"173",184,"2",1,1.25,1
"174",184,"2",2,1.5,1
"175",185,"3",1,2.75,7
"176",185,"3",2,3,7
"177",186,"3",1,5.5,3
"178",186,"3",2,5.5,6
"179",188,"1",1,7,5
"180",188,"1",2,7,6
"181",189,"2",1,5.5,7
"182",189,"2",2,5.5,7
"183",190,"1",1,4.5,5
"184",190,"1",2,3.25,3
"185",194,"1",1,5.5,3
"186",194,"1",2,6,5
"187",201,"1",1,4.75,5
"188",201,"1",2,4.5,5
"189",205,"3",1,6.5,4
"190",205,"3",2,6.5,4
"191",207,"3",1,4.5,4
"192",207,"3",2,4.75,4
"193",214,"1",1,5.5,1
"194",214,"1",2,5.75,1
"195",218,"3",1,6,1
"196",218,"3",2,6,1
"197",226,"1",1,6,5
"198",226,"1",2,6,6
"199",228,"1",1,6.75,3
"200",228,"1",2,6.75,6
"201",232,"2",1,4.5,2
"202",232,"2",2,3.75,2
"203",233,"3",1,6,3
"204",233,"3",2,6,5
"205",234,"2",1,3.25,2
"206",234,"2",2,3,2
"207",235,"1",1,7,7
"208",235,"1",2,7,7
"209",237,"3",1,4.25,4
"210",237,"3",2,4,5
"211",238,"1",1,5.5,7
"212",238,"1",2,5,6
"213",241,"2",1,6.25,1
"214",241,"2",2,7,1
"215",242,"3",1,4.75,5
"216",242,"3",2,5,4
"217",244,"3",1,4.5,1
"218",244,"3",2,4.75,1
"219",245,"1",1,5.75,5
"220",245,"1",2,6,5
"221",247,"2",1,5.5,2
"222",247,"2",2,5.75,2
"223",250,"3",1,6,7
"224",250,"3",2,6,7
"225",251,"2",1,2.75,3
"226",251,"2",2,2.5,3
"227",252,"1",1,4,2
"228",252,"1",2,4,3
"229",253,"1",1,6.5,7
"230",253,"1",2,6.75,7
"231",254,"3",1,4.75,5
"232",254,"3",2,4.25,4
"233",255,"2",1,5.25,5
"234",255,"2",2,5.75,6
"235",260,"2",1,4.75,2
"236",260,"2",2,4.25,2
"237",262,"1",1,4.25,1
"238",262,"1",2,5,3
"239",263,"3",1,5.5,6
"240",263,"3",2,6,6
"241",270,"2",1,5.5,2
"242",270,"2",2,5.5,3
"243",274,"3",1,3.25,1
"244",274,"3",2,2.25,1
"245",275,"3",1,5.5,5
"246",275,"3",2,5.75,6
"247",276,"1",1,6.25,5
"248",276,"1",2,6.5,5
"249",277,"3",1,4.5,1
"250",277,"3",2,4.75,1
"251",278,"2",1,1.5,1
"252",278,"2",2,1.75,1
"253",279,"2",1,6,6
"254",279,"2",2,6,6
"255",280,"3",1,7,6
"256",280,"3",2,7,7
"257",282,"1",1,5.5,7
"258",282,"1",2,5.25,6
"259",285,"1",1,3.75,6
"260",285,"1",2,3.75,5
"261",286,"2",1,4.5,6
"262",286,"2",2,4.5,5
"263",295,"2",1,6,7
"264",295,"2",2,6,6
"265",303,"3",1,4.25,1
"266",303,"3",2,4.5,1
"267",304,"2",1,5.5,2
"268",304,"2",2,4.5,1
"269",306,"1",1,5.25,3
"270",306,"1",2,5,3
"271",309,"3",1,5.75,5
"272",309,"3",2,6.25,5
"273",311,"2",1,3.5,1
"274",311,"2",2,2,1
"275",312,"1",1,3.75,2
"276",312,"1",2,5.25,3
"277",320,"3",1,5.25,2
"278",320,"3",2,5,2
"279",322,"2",1,3.25,2
"280",322,"2",2,3.5,3
"281",327,"1",1,5.25,6
"282",327,"1",2,5.75,6
"283",328,"2",1,6.5,1
"284",328,"2",2,7,1
"285",329,"1",1,6.75,2
"286",329,"1",2,7,2
"287",335,"2",1,6.5,3
"288",335,"2",2,6.25,3
"289",336,"1",1,7,7
"290",336,"1",2,7,7
"291",339,"1",1,5.75,6
"292",339,"1",2,4.5,5
"293",340,"1",1,5,6
"294",340,"1",2,5.25,6
"295",342,"3",1,4.75,4
"296",342,"3",2,5,4
"297",344,"3",1,7,1
"298",344,"3",2,7,1
"299",346,"2",1,6.75,4
"300",346,"2",2,6.75,4
"301",347,"1",1,6.5,2
"302",347,"1",2,6.5,2
"303",348,"3",1,5.5,5
"304",348,"3",2,6,6
"305",349,"2",1,3.75,2
"306",349,"2",2,4,2
"307",351,"1",1,5.75,1
"308",351,"1",2,5.75,1
"309",354,"2",1,4.5,1
"310",354,"2",2,4.5,1
"311",356,"3",1,6.25,7
"312",356,"3",2,6.25,7
"313",359,"1",1,3.75,2
"314",359,"1",2,3.5,3
"315",360,"3",1,5.75,6
"316",360,"3",2,5.75,7
"317",362,"3",1,5.75,4
"318",362,"3",2,6.25,5
"319",364,"2",1,5,1
"320",364,"2",2,4.75,1
"321",365,"2",1,5,6
"322",365,"2",2,5.75,6
"323",366,"3",1,6.25,3
"324",366,"3",2,6,4
"325",367,"1",1,6,3
"326",367,"1",2,5.5,3
"327",370,"2",1,4.5,2
"328",370,"2",2,5,2
"329",371,"3",1,6,7
"330",371,"3",2,7,7
"331",372,"1",1,5.75,7
"332",372,"1",2,5.75,7
"333",373,"2",1,4.25,3
"334",373,"2",2,4.75,3
"335",374,"3",1,7,7
"336",374,"3",2,7,5
"337",380,"2",1,3.25,1
"338",380,"2",2,2.75,1
"339",382,"1",1,5.25,5
"340",382,"1",2,6,5
"341",384,"1",1,2,1
"342",384,"1",2,1.75,1
"343",386,"2",1,3.75,1
"344",386,"2",2,5,1
"345",387,"3",1,5.5,6
"346",387,"3",2,5.5,6
"347",391,"1",1,6.25,7
"348",391,"1",2,6.5,7
"349",393,"2",1,5.75,5
"350",393,"2",2,6,6
"351",395,"3",1,5.75,6
"352",395,"3",2,5.75,5
"353",397,"1",1,5.75,4
"354",397,"1",2,5.75,4
"355",401,"3",1,5.5,7
"356",401,"3",2,4.75,7
"357",404,"3",1,7,5
"358",404,"3",2,6.25,3
"359",405,"2",1,6.5,2
"360",405,"2",2,6,2
"361",407,"2",1,4.5,3
"362",407,"2",2,4,4
"363",410,"1",1,7,7
"364",410,"1",2,7,7
"365",412,"2",1,5,1
"366",412,"2",2,5,1
"367",417,"1",1,5.25,2
"368",417,"1",2,5.5,2
"369",418,"3",1,4.25,3
"370",418,"3",2,4,3
"371",419,"2",1,6,3
"372",419,"2",2,6,3
"373",423,"2",1,4.25,6
"374",423,"2",2,4.25,5
"375",425,"1",1,6.5,7
"376",425,"1",2,6.5,7
"377",426,"3",1,7,1
"378",426,"3",2,7,1
"379",427,"3",1,6.5,1
"380",427,"3",2,7,1
"381",428,"1",1,2.25,5
"382",428,"1",2,2,3
"383",429,"2",1,6,3
"384",429,"2",2,6,3
"385",430,"1",1,2.75,2
"386",430,"1",2,3,2
"387",433,"3",1,5.5,5
"388",433,"3",2,5.5,5
"389",434,"2",1,4.75,1
"390",434,"2",2,4.25,2
"391",435,"3",1,4,2
"392",435,"3",2,3.5,2
"393",436,"1",1,6,4
"394",436,"1",2,6,6
"395",437,"2",1,6.5,3
"396",437,"2",2,6,3
"397",438,"2",1,4.75,4
"398",438,"2",2,5.5,4
"399",439,"1",1,5.25,5
"400",439,"1",2,5.25,5
"401",441,"3",1,7,2
"402",441,"3",2,7,2
"403",443,"2",1,3.5,4
"404",443,"2",2,4,5
"405",444,"1",1,5,5
"406",444,"1",2,6,6
"407",446,"1",1,4.5,1
"408",446,"1",2,5.25,1
"409",447,"2",1,5.5,2
"410",447,"2",2,6,3
"411",449,"3",1,6.25,6
"412",449,"3",2,6.75,6
"413",451,"3",1,4.75,2
"414",451,"3",2,4,2
"415",453,"2",1,4.75,7
"416",453,"2",2,4.75,7
"417",454,"1",1,6.5,6
"418",454,"1",2,6.5,6
"419",455,"1",1,4.75,7
"420",455,"1",2,5,6
"421",456,"3",1,6.25,4
"422",456,"3",2,5.75,4
"423",458,"2",1,5.75,4
"424",458,"2",2,6,4
"425",459,"1",1,4,1
"426",459,"1",2,3.25,1
"427",460,"2",1,5.75,3
"428",460,"2",2,6,3
"429",465,"3",1,7,1
"430",465,"3",2,7,5
"431",466,"3",1,6,4
"432",466,"3",2,5.25,4
"433",467,"1",1,6.75,4
"434",467,"1",2,7,5
"435",469,"2",1,5,7
"436",469,"2",2,5.5,6
"437",471,"1",1,5,6
"438",471,"1",2,5,6
"439",472,"3",1,4.25,1
"440",472,"3",2,5.25,3
"441",474,"3",1,5,1
"442",474,"3",2,4.25,1
"443",477,"3",1,5.75,5
"444",477,"3",2,5.5,6
"445",479,"3",1,4.5,6
"446",479,"3",2,4.75,6
"447",481,"2",1,6,5
"448",481,"2",2,5.25,5
"449",482,"1",1,4,6
"450",482,"1",2,3.75,5
"451",485,"2",1,5.75,6
"452",485,"2",2,5.5,6
"453",487,"1",1,7,7
"454",487,"1",2,6.75,7
"455",489,"1",1,7,5
"456",489,"1",2,5.5,4
"457",490,"3",1,4.25,2
"458",490,"3",2,3.25,2
"459",491,"2",1,6.25,3
"460",491,"2",2,6.5,4
"461",493,"1",1,6,6
"462",493,"1",2,4.75,6
"463",496,"3",1,5,4
"464",496,"3",2,5,4
"465",498,"2",1,6,6
"466",498,"2",2,6.25,6
"467",502,"1",1,4,1
"468",502,"1",2,4.25,1
"469",504,"2",1,3.5,1
"470",504,"2",2,3,1
"471",506,"1",1,4.75,3
"472",506,"1",2,4.75,5
"473",509,"2",1,7,2
"474",509,"2",2,7,3
"475",511,"1",1,4.25,1
"476",511,"1",2,4.25,1
"477",512,"3",1,4.5,1
"478",512,"3",2,4.25,3
"479",515,"3",1,5.5,1
"480",515,"3",2,5.5,1
"481",516,"1",1,4.25,2
"482",516,"1",2,3.75,4
"483",517,"1",1,6.75,7
"484",517,"1",2,7,7
"485",519,"2",1,6,7
"486",519,"2",2,6.25,7
"487",524,"2",1,4,2
"488",524,"2",2,3.5,3
"489",526,"3",1,6.5,4
"490",526,"3",2,6.25,5
"491",527,"1",1,6.75,6
"492",527,"1",2,6.5,6
"493",532,"2",1,4.75,1
"494",532,"2",2,5,1
"495",533,"1",1,6,7
"496",533,"1",2,6,7
"497",535,"1",1,4,3
"498",535,"1",2,4,3
"499",536,"1",1,6,7
"500",536,"1",2,5.75,7
"501",537,"3",1,6,4
"502",537,"3",2,5.5,4
"503",538,"2",1,5.75,7
"504",538,"2",2,5.75,7
"505",540,"1",1,4.25,7
"506",540,"1",2,5.25,5
"507",542,"1",1,5.75,7
"508",542,"1",2,6,6
"509",543,"2",1,7,5
"510",543,"2",2,7,5
"511",544,"2",1,6,7
"512",544,"2",2,5.75,7
"513",546,"1",1,5.5,1
"514",546,"1",2,5,1
"515",547,"2",1,5.25,6
"516",547,"2",2,5.5,6
"517",548,"2",1,5,2
"518",548,"2",2,4.25,2
"519",552,"3",1,5.5,3
"520",552,"3",2,6,4
"521",555,"3",1,7,1
"522",555,"3",2,7,1
"523",556,"2",1,3.5,2
"524",556,"2",2,3,3
"525",557,"3",1,4.25,1
"526",557,"3",2,4.75,1
"527",558,"2",1,6.75,5
"528",558,"2",2,6.5,6
"529",560,"1",1,5,2
"530",560,"1",2,4.5,3
"531",561,"1",1,6.75,5
"532",561,"1",2,6.75,5
"533",562,"3",1,7,4
"534",562,"3",2,7,7
"535",565,"2",1,6,7
"536",565,"2",2,7,7
"537",566,"1",1,4,2
"538",566,"1",2,4.75,2
"539",567,"3",1,5.25,6
"540",567,"3",2,5,6
"541",572,"1",1,5.5,3
"542",572,"1",2,5.5,2
"543",573,"3",1,7,2
"544",573,"3",2,7,2
"545",577,"2",1,4,4
"546",577,"2",2,3.75,4
"547",582,"3",1,4.25,4
"548",582,"3",2,4.5,4
"549",590,"2",1,5.75,6
"550",590,"2",2,6,6
"551",593,"2",1,6.25,7
"552",593,"2",2,6,7
"553",597,"3",1,3.25,7
"554",597,"3",2,3,7
"555",598,"1",1,5,6
"556",598,"1",2,5,5
"557",601,"3",1,5,1
"558",601,"3",2,5.25,1
"559",602,"1",1,6.25,4
"560",602,"1",2,5.75,5
"561",603,"3",1,5.5,3
"562",603,"3",2,4.75,5
"563",604,"2",1,1,1
"564",604,"2",2,1,1
"565",606,"3",1,5.25,1
"566",606,"3",2,6.75,1
"567",611,"1",1,3,4
"568",611,"1",2,3,5
"569",613,"3",1,5.5,7
"570",613,"3",2,6,6
"571",615,"2",1,7,7
"572",615,"2",2,7,7
"573",616,"2",1,5.75,5
"574",616,"2",2,6.5,6
"575",618,"1",1,5,1
"576",618,"1",2,5.5,1
"577",620,"3",1,2,1
"578",620,"3",2,3.5,1
"579",622,"2",1,4.25,1
"580",622,"2",2,5.25,5
"581",629,"2",1,5.5,6
"582",629,"2",2,6,6
"583",630,"1",1,5.25,5
"584",630,"1",2,5.75,6
"585",633,"3",1,3.25,1
"586",633,"3",2,2.5,1
"587",635,"3",1,4.75,7
"588",635,"3",2,4.75,7
"589",638,"1",1,2.75,3
"590",638,"1",2,3.5,3
"591",640,"2",1,3,6
"592",640,"2",2,4.25,6
"593",647,"2",1,3.5,1
"594",647,"2",2,3.75,1
"595",655,"3",1,4.75,5
"596",655,"3",2,3,5
"597",656,"3",1,3.75,4
"598",656,"3",2,4.25,4
"599",657,"1",1,4.5,2
"600",657,"1",2,4.5,2
"601",659,"2",1,3.75,2
"602",659,"2",2,3.75,5
"603",661,"2",1,4,3
"604",661,"2",2,3,3
"605",662,"3",1,4.5,4
"606",662,"3",2,4.75,5
"607",664,"1",1,4.75,4
"608",664,"1",2,4,4
"609",665,"2",1,6,1
"610",665,"2",2,6,1
"611",666,"3",1,4.5,6
"612",666,"3",2,4.25,6
"613",667,"1",1,2.25,1
"614",667,"1",2,2.5,1
"615",668,"2",1,5.75,6
"616",668,"2",2,5.75,6
"617",669,"3",1,4.75,1
"618",669,"3",2,4.75,1
"619",670,"1",1,4.75,1
"620",670,"1",2,4.25,1
"621",672,"2",1,7,6
"622",672,"2",2,7,7
"623",673,"1",1,4.5,3
"624",673,"1",2,4.5,3
"625",674,"3",1,4,3
"626",674,"3",2,4,2
"627",675,"1",1,7,7
"628",675,"1",2,7,7
"629",676,"1",1,4.25,2
"630",676,"1",2,4,2
"631",677,"2",1,5,2
"632",677,"2",2,5,3
"633",678,"2",1,6.25,4
"634",678,"2",2,6.25,7
"635",679,"2",1,4,4
"636",679,"2",2,4,3
"637",680,"3",1,7,7
"638",680,"3",2,7,7
"639",683,"1",1,5,2
"640",683,"1",2,4.75,2
"641",687,"3",1,5.25,4
"642",687,"3",2,5,5
"643",690,"2",1,6.25,7
"644",690,"2",2,6,7
"645",691,"3",1,6.5,5
"646",691,"3",2,7,6
"647",692,"1",1,2.5,1
"648",692,"1",2,2.5,1
"649",695,"1",1,3.5,2
"650",695,"1",2,4.25,3
"651",696,"3",1,5.5,7
"652",696,"3",2,5.5,7
"653",697,"2",1,5.5,2
"654",697,"2",2,5.5,4
"655",698,"1",1,3.75,1
"656",698,"1",2,3.5,1
"657",699,"2",1,5.5,1
"658",699,"2",2,5,1
"659",711,"3",1,7,2
"660",711,"3",2,7,2
"661",712,"1",1,6,5
"662",712,"1",2,6,5
"663",713,"1",1,4,1
"664",713,"1",2,4.5,1
"665",714,"2",1,6.25,7
"666",714,"2",2,5.75,6
"667",715,"3",1,3,1
"668",715,"3",2,3,1
"669",718,"1",1,5.5,4
"670",718,"1",2,5.75,3
"671",727,"2",1,4.25,5
"672",727,"2",2,4.25,5
"673",728,"3",1,5,4
"674",728,"3",2,5,4
"675",729,"3",1,5.75,1
"676",729,"3",2,5.75,1
"677",730,"1",1,7,7
"678",730,"1",2,4.25,7
"679",733,"2",1,5.5,1
"680",733,"2",2,5,1
"681",734,"3",1,5,5
"682",734,"3",2,5,5
"683",738,"3",1,4.75,6
"684",738,"3",2,4.25,6
"685",741,"1",1,6,3
"686",741,"1",2,6,3
"687",742,"1",1,1,1
"688",742,"1",2,1,1
"689",744,"2",1,2.5,2
"690",744,"2",2,2.25,2
"691",745,"3",1,6.5,5
"692",745,"3",2,6.5,6
"693",746,"1",1,6.5,7
"694",746,"1",2,6.75,7
"695",747,"2",1,3.75,7
"696",747,"2",2,3.25,7
"697",749,"3",1,3,1
"698",749,"3",2,3.75,1
"699",750,"1",1,2.25,3
"700",750,"1",2,2,1
"701",751,"2",1,3.25,5
"702",751,"2",2,3.25,4
"703",752,"2",1,5.25,7
"704",752,"2",2,5,6
"705",765,"3",1,4.25,4
"706",765,"3",2,4.5,4
"707",767,"2",1,6.5,7
"708",767,"2",2,6.25,7
"709",768,"1",1,1.75,1
"710",768,"1",2,1.5,1
"711",771,"2",1,7,7
"712",771,"2",2,7,7
"713",772,"1",1,6.75,7
"714",772,"1",2,6.5,7
"715",774,"2",1,6.25,2
"716",774,"2",2,6.5,2
"717",775,"3",1,4,4
"718",775,"3",2,4,5
"719",776,"3",1,4.25,1
"720",776,"3",2,2.75,2
"721",779,"1",1,4,2
"722",779,"1",2,4,2
"723",783,"1",1,3.5,3
"724",783,"1",2,2.75,2
"725",784,"3",1,4.25,4
"726",784,"3",2,4,4
"727",785,"2",1,5.75,4
"728",785,"2",2,5.75,5
"729",786,"3",1,4.5,6
"730",786,"3",2,4.5,6
"731",788,"1",1,3.25,1
"732",788,"1",2,3.25,1
"733",791,"2",1,6.5,3
"734",791,"2",2,6.25,3
"735",793,"3",1,5.5,4
"736",793,"3",2,5.25,4
"737",794,"2",1,4.5,1
"738",794,"2",2,4.5,1
"739",796,"1",1,7,7
"740",796,"1",2,7,7
"741",797,"2",1,4.25,1
"742",797,"2",2,4.75,1
"743",801,"3",1,5,2
"744",801,"3",2,5,1
"745",802,"1",1,7,4
"746",802,"1",2,7,4
"747",803,"2",1,4,4
"748",803,"2",2,4,6
"749",804,"3",1,5,7
"750",804,"3",2,5,7
"751",806,"1",1,6.75,7
"752",806,"1",2,6.75,7
"753",807,"2",1,6.25,7
"754",807,"2",2,6.5,7
"755",809,"2",1,5,7
"756",809,"2",2,6,7
"757",811,"3",1,3.5,2
"758",811,"3",2,3,3
"759",813,"3",1,5.5,3
"760",813,"3",2,5,4
"761",814,"1",1,7,6
"762",814,"1",2,7,2
"763",816,"1",1,2.25,1
"764",816,"1",2,2.5,1
"765",817,"1",1,7,7
"766",817,"1",2,7,7
"767",818,"2",1,6.75,6
"768",818,"2",2,7,6
"769",821,"3",1,5.75,5
"770",821,"3",2,5.75,5
"771",822,"2",1,5.75,7
"772",822,"2",2,5.75,7
"773",823,"1",1,5.5,2
"774",823,"1",2,5.75,4
"775",824,"3",1,6,7
"776",824,"3",2,6,7
"777",825,"2",1,4.75,7
"778",825,"2",2,2,7
"779",828,"2",1,5,2
"780",828,"2",2,4.5,2
"781",832,"1",1,3.5,4
"782",832,"1",2,4.5,5
"783",833,"2",1,6.5,3
"784",833,"2",2,6.5,4
"785",839,"2",1,6,6
"786",839,"2",2,6,6
"787",841,"1",1,5,6
"788",841,"1",2,6,6
"789",842,"1",1,6,4
"790",842,"1",2,6,4
"791",843,"2",1,6.25,7
"792",843,"2",2,6.25,7
"793",845,"1",1,5,7
"794",845,"1",2,5,7
"795",846,"3",1,4,2
"796",846,"3",2,3.75,2
"797",848,"2",1,3.25,2
"798",848,"2",2,3.5,2
"799",851,"3",1,6,5
"800",851,"3",2,6,5
"801",858,"2",1,3.25,2
"802",858,"2",2,3,3
"803",862,"1",1,6.5,7
"804",862,"1",2,6,7
"805",865,"2",1,5.25,3
"806",865,"2",2,4.75,3
"807",868,"3",1,4,1
"808",868,"3",2,3.5,1
"809",869,"2",1,4.5,5
"810",869,"2",2,5.25,6
"811",871,"1",1,7,4
"812",871,"1",2,7,4
"813",873,"3",1,6.5,6
"814",873,"3",2,6.75,6
"815",875,"1",1,5.75,4
"816",875,"1",2,5.5,6
"817",877,"1",1,6,2
"818",877,"1",2,5.25,2
"819",878,"3",1,4,4
"820",878,"3",2,4,4
"821",879,"3",1,6,6
"822",879,"3",2,6,6
"823",880,"1",1,4,2
"824",880,"1",2,4.5,2
"825",881,"3",1,7,7
"826",881,"3",2,7,7
"827",883,"1",1,4.25,1
"828",883,"1",2,4.75,1
"829",884,"1",1,2.5,1
"830",884,"1",2,2.25,2
"831",885,"3",1,3.75,2
"832",885,"3",2,3,2
"833",886,"2",1,4.25,1
"834",886,"2",2,4,1
"835",887,"1",1,5.5,6
"836",887,"1",2,5.25,6
"837",891,"2",1,5,1
"838",891,"2",2,4.5,1
"839",892,"1",1,4.5,2
"840",892,"1",2,4,2
"841",894,"3",1,3,5
"842",894,"3",2,2.75,5
"843",897,"2",1,4.5,2
"844",897,"2",2,4.5,2
"845",898,"1",1,3.75,1
"846",898,"1",2,3.75,1
"847",899,"3",1,5,2
"848",899,"3",2,4.75,2
"849",903,"2",1,5.25,3
"850",903,"2",2,5.75,3
"851",904,"1",1,6.75,6
"852",904,"1",2,6,6
"853",905,"3",1,2.25,3
"854",905,"3",2,1.75,3
"855",907,"3",1,6,7
"856",907,"3",2,5.75,7
"857",910,"1",1,5.75,3
"858",910,"1",2,5.75,3
"859",912,"2",1,3.75,5
"860",912,"2",2,4,4
"861",915,"1",1,5.5,7
